,home_team,away_team,date
173,Champlin Park,Osseo/Park Center,Mon May 18
174,St. Michael-Albertville,Buffalo,Tue May 12
175,Holy Angels,Burnsville,Tue Apr 14
176,Owatonna,Rochester Century,Mon May 11
177,Prior Lake,Chanhassen,Sat May  9
178,Roseville,Park of Cottage Grove,Wed May  6
179,Hastings,Park of Cottage Grove,Tue Apr 14
180,Sartell Sauk Rapids,St. Cloud,Mon May 11
181,St. Louis Park,Hill-Murray,Fri May  1
182,St. Cloud,Brainerd,Thu Apr 30
183,Delano Rockford,Monticello,Thu Apr 16
184,Holy Family,Southwest Christian,Tue May  5
185,Wayzata,St. Michael-Albertville,Tue Apr 21
186,Osseo/Park Center,Rogers,Wed May  6
187,Henry Sibley,St. Louis Park,Sat Apr 18
188,Grand Rapids,Hermantown/Proctor,Fri May  1
189,Osseo/Park Center,Anoka,Fri Apr 24
190,Chisago Lakes,Brainerd,Thu May  7
191,Bloomington Jefferson,Rosemount,Sat Apr 11
192,Cretin-Derham Hall,Stillwater,Wed May  6
193,Eden Prairie,Wayzata,Tue May 12
194,Rochester Century,Rochester Mayo,Wed May 13
195,Duluth,Woodbury,Sat May 23
196,TrIMAC,Breck,Thu Apr 23
197,Andover,Champlin Park,Wed May 13
198,Lakeville South,Blake,Thu Apr 16
199,Champlin Park,Osseo Park Center,Mon May 18
200,Maple Grove,Champlin Park,Mon Apr 13
201,Minnetonka,Eastview,Sat Apr 11
202,TrIMAC,Hastings,Tue May 19
203,Chaska,Holy Family,Tue Apr 14
204,Spring Lake Park,Coon Rapids,Mon Apr 27
205,Holy Family,Mound Westonka,Thu May  7
206,Lakeville North,Rosemount,Tue Apr 21
207,Sartell/Sauk Rapids,Monticello,Mon May  4
208,Holy Angels,Hopkins,Thu May 21
209,Eagan,Apple Valley,Thu Apr 30
210,Mound Westonka,Orono,Thu May 14
211,Minnetonka,Edina,Tue May 12
212,St. Thomas Academy,Mahtomedi,Thu Apr 23
213,Farmington,Minnetonka,Sat Apr 18
214,East Ridge,Eagan,Thu May 21
215,Hopkins,Eden Prairie,Thu Apr 23
216,Rochester Century,Rochester JM/Lourdes,Mon May  4
217,Moorhead,St. Cloud,Thu Apr 16
218,Waconia,Rocori,Mon May 18
219,Bloomington Jefferson,Bloomington Kennedy,Tue May  5
220,Osseo Park Center,Blaine,Wed Apr 29
221,Rosemount,Wayzata,Sat May  2
222,Mound Westonka,St. Louis Park,Fri May 15
223,Woodbury,Mounds View,Wed May 20
224,Eastview,Bloomington Jefferson,Sat Apr 25
225,East Ridge,Simley,Mon May 18
226,St. Louis Park,Chanhassen,Thu Apr 30
227,Shakopee,Chaska,Sat Apr 18
228,Rochester Mayo,Mankato,Mon Apr 13
