,home_team,home_team_score,home_team_record,home_team_GFvGA,away_team,away_team_score,away_team_record,away_team_GFvGA,winner,year,date
882,Edina,7,0.4615384615384616,0.5092592592592593,Benilde-St. Margarets,12,1.0,0.7230769230769231,1,2018,Sat May  5
883,Eden Prairie,8,0.68,0.596875,Edina,5,0.4615384615384616,0.5092592592592593,0,2018,Tue Apr 24
884,Rochester Century,6,0.28,0.3638253638253639,Hastings,15,0.6153846153846154,0.5961538461538461,1,2018,Tue May 22
885,Shakopee,11,0.6153846153846154,0.5754716981132075,Farmington,4,0.19230769230769232,0.2717678100263852,0,2018,Tue May 22
886,St. Louis Park,2,0.125,0.21521739130434786,Benilde-St. Margarets,15,1.0,0.7230769230769231,1,2018,Thu Apr 19
887,Blaine,3,0.68,0.6119791666666666,Elk River Zimmerman,5,0.76,0.6173708920187794,1,2019,Wed May  8
888,Rocori,9,0.4583333333333333,0.4561855670103093,Buffalo,8,0.6666666666666666,0.6193293885601578,0,2018,Mon May 21
889,Champlin Park,9,0.4615384615384616,0.4656319290465632,Centennial,8,0.75,0.6349892008639308,0,2018,Fri Apr 27
890,Providence Academy,16,0.4545454545454545,0.471057884231537,Waconia,6,0.09090909090909093,0.2525252525252525,0,2019,Tue Apr 16
891,Sartell Sauk Rapids,8,0.20833333333333331,0.271264367816092,Becker,14,0.6818181818181818,0.6194444444444445,1,2018,Mon May  7
892,Eden Prairie,13,0.68,0.596875,Woodbury,4,0.4166666666666667,0.43315508021390375,0,2019,Tue Apr 16
893,Big Lake,10,0.0,0.14418604651162792,Brainerd,11,0.08333333333333333,0.13901345291479822,1,2019,Mon May 20
894,Moorhead,16,0.4,0.4748201438848921,Sartell Sauk Rapids,3,0.20833333333333331,0.271264367816092,0,2019,Tue Apr 16
895,TrIMAC,6,0.2,0.3805147058823529,Hastings,17,0.6153846153846154,0.5961538461538461,1,2018,Fri May 11
896,Bloomington Jefferson,4,0.5384615384615384,0.5596330275229358,Benilde-St. Margarets,9,1.0,0.7230769230769231,1,2019,Tue May 21
897,Eden Prairie,9,0.68,0.596875,Orono,8,0.5384615384615384,0.5379876796714579,0,2018,Tue May 22
898,Eden Prairie,6,0.68,0.596875,Wayzata,7,0.52,0.5757575757575758,1,2018,Thu Apr 19
899,Prior Lake,9,0.8076923076923077,0.7090069284064665,Lakeville North,10,0.64,0.5704989154013015,1,2019,Thu Apr 25
900,Park of Cottage Grove,9,0.5769230769230769,0.5265700483091788,Forest Lake,6,0.19230769230769232,0.3790849673202614,0,2019,Thu Apr 25
901,Sartell Sauk Rapids,3,0.20833333333333331,0.271264367816092,Delano Rockford,14,0.7307692307692307,0.6274944567627494,1,2018,Tue May 15
902,Prior Lake,7,0.8076923076923077,0.7090069284064665,Lakeville North,6,0.64,0.5704989154013015,0,2018,Thu May 10
903,Minneapolis,11,0.5416666666666666,0.5553470919324578,Hill-Murray,12,0.2916666666666667,0.3333333333333333,1,2018,Mon May 14
904,Minneapolis,19,0.5416666666666666,0.5553470919324578,Rochester Mayo,4,0.52,0.4576271186440678,0,2019,Thu May  2
905,Minneapolis,17,0.5416666666666666,0.5553470919324578,Breck,12,0.72,0.5989847715736041,0,2019,Tue May  7
906,Lakeville South,7,0.4615384615384616,0.4942339373970346,Blake,14,0.5769230769230769,0.6049382716049383,1,2019,Sat May 18
907,Hopkins,8,0.15384615384615385,0.201530612244898,Holy Angels,9,0.6521739130434783,0.534516765285996,1,2019,Sat May 11
908,Lakeville North,9,0.64,0.5704989154013015,Rosemount,5,0.72,0.6347826086956522,0,2018,Tue May 15
909,Farmington,2,0.19230769230769232,0.2717678100263852,Rosemount,14,0.72,0.6347826086956522,1,2018,Thu Apr 26
910,Anoka,4,0.2,0.3634408602150538,Robbinsdale Armstrong,8,0.4615384615384616,0.4762886597938144,1,2019,Mon May 20
911,St. Cloud,10,0.4,0.41326530612244894,Rocori,7,0.4583333333333333,0.4561855670103093,0,2018,Tue Apr 17
912,Southwest Christian,6,0.3333333333333333,0.4048582995951417,Chaska,13,0.3461538461538461,0.4004739336492891,1,2019,Tue May 14
913,Osseo Park Center,11,0.3703703703703704,0.5057251908396947,Champlin Park,13,0.4615384615384616,0.4656319290465632,1,2018,Wed May 23
914,Southwest Christian,13,0.3333333333333333,0.4048582995951417,Providence Academy,19,0.4545454545454545,0.471057884231537,1,2019,Tue Apr 23
915,St. Michael-Albertville,13,0.88,0.8653465346534653,Becker,5,0.6818181818181818,0.6194444444444445,0,2019,Tue May 21
916,Owatonna,9,0.5769230769230769,0.6091954022988506,Northfield,14,0.56,0.5971896955503513,1,2019,Mon May  6
917,Andover,9,0.6923076923076923,0.5466101694915254,Irondale,11,0.9230769230769232,0.7096069868995634,1,2019,Tue May 21
918,Simley,1,0.4166666666666667,0.4911111111111111,Park of Cottage Grove,7,0.5769230769230769,0.5265700483091788,1,2019,Fri Apr 26
919,Henry Sibley,1,0.2727272727272727,0.2891566265060241,Simley,15,0.4166666666666667,0.4911111111111111,1,2019,Thu Apr 25
920,White Bear Lake,16,0.72,0.6255411255411255,Grand Rapids,0,0.3478260869565217,0.4595469255663429,0,2019,Fri Apr 19
921,St. Paul,7,0.5,0.4967320261437909,TrIMAC,9,0.2,0.3805147058823529,1,2018,Thu May 10
922,Southwest Christian,14,0.3333333333333333,0.4048582995951417,Holy Family,13,0.13043478260869565,0.2868020304568528,0,2019,Mon May 13
